epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9599,0.99252,0.93783,1.11674,0.84544,0.91361,0.93114,0.65933,1.03638,1.23066,1.2443,0.000662162,0.000662162,0.000662162
2,139.544,1.01501,0.76572,1.11783,0.78247,0.74607,0.73593,0.50085,1.21135,1.31041,1.33319,0.00124113,0.00124113,0.00124113
3,274.207,0.95779,0.71699,1.09016,0.96913,0.96335,0.98138,0.75927,0.85693,0.58468,1.08289,0.00173209,0.00173209,0.00173209
4,415.574,0.90011,0.62044,1.06405,0.98192,0.94764,0.97995,0.76408,0.80417,0.54558,1.02541,0.001604,0.001604,0.001604
5,581.206,0.88135,0.60633,1.05272,0.9712,0.96073,0.98125,0.77178,0.80831,0.5548,0.99351,0.001472,0.001472,0.001472
6,797.326,0.80398,0.57592,0.99015,0.90156,0.91623,0.95922,0.70421,0.96613,0.61151,1.13106,0.00134,0.00134,0.00134
7,1561.55,0.76968,0.51912,0.97139,0.97156,0.95026,0.98011,0.80175,0.73357,0.47659,0.97539,0.001208,0.001208,0.001208
8,1881.75,0.72555,0.49697,0.94935,0.97891,0.97186,0.98653,0.81138,0.68289,0.45569,0.98325,0.001076,0.001076,0.001076
9,2014.55,0.69426,0.46041,0.94015,0.98589,0.96335,0.99149,0.80646,0.66594,0.41926,0.93149,0.000944,0.000944,0.000944
10,2127,0.67298,0.43449,0.9242,0.98226,0.98168,0.99071,0.83666,0.6304,0.38217,0.92652,0.000812,0.000812,0.000812
11,2569.33,0.64044,0.40726,0.91496,0.98589,0.96859,0.99228,0.83176,0.63626,0.3668,0.91093,0.00068,0.00068,0.00068
12,2729.03,0.61145,0.39279,0.90676,0.9841,0.97204,0.9911,0.82953,0.6227,0.36491,0.90986,0.000548,0.000548,0.000548
13,3000.28,0.59014,0.37106,0.8978,0.98146,0.97644,0.9914,0.85415,0.56101,0.32639,0.88884,0.000416,0.000416,0.000416
14,3139.15,0.55775,0.34491,0.88949,0.98711,0.97644,0.99261,0.8517,0.56744,0.31186,0.89332,0.000284,0.000284,0.000284
15,3282.92,0.53424,0.32408,0.87618,0.98064,0.98429,0.99314,0.86829,0.53886,0.29082,0.87747,0.000152,0.000152,0.000152
